Team,Player,Event,X,Y
Indonesia,Ryuji,Shot Off Target,68,68
Indonesia,Walian,Shot Assist,79,82
Indonesia,Witan,Blocked Shot,79,72
Indonesia,Evan,Goal Assist,100,1
Indonesia,Irianto,Goal,98,43
Indonesia,Irfan,Shot Assist,93,13
Indonesia,Witan,Blocked Shot,90,38
Indonesia,Arhan,Goal Assist,49,35
Indonesia,Evan,Goal,89,67
Indonesia,Irianto,Blocked Shot,92,45
Indonesia,Arhan,Shot Assist,79,32
Indonesia,Walian,Shot Off Target,82,61
Indonesia,Kambuaya,Shot Off Target,82,40
Indonesia,Arhan,Goal Assist,100,100
Indonesia,Irianto,Goal,98,59
Cambodia,Pisoth,Shot Assist,25,52
Cambodia,Sokpheng,Blocked Shot,13,67
Cambodia,Sokpheng,Goal Assist,1,0
Cambodia,Safy,Goal,3,43
Indonesia,Asnawi,Shot Assist,79,90
Indonesia,Irfan,Shot Off Target,91,54
Indonesia,Walian,Shot Off Target,89,45
Cambodia,Chanchav,Shot Assist,24,47
Cambodia,Sokpheng,Blocked Shot,25,60
Cambodia,Ratanak,Shot Assist,33,38
Cambodia,Sosidan,Shot On Target,16,42
Indonesia,Asnawi,Shot Assist,84,73
Indonesia,Evan,Shot On Target,82,53
Indonesia,Kambuaya,Blocked Shot,83,42
Indonesia,Evan,Shot Assist,98,69
Indonesia,Witan,Blocked Shot,93,59
Indonesia,Kambuaya,Goal Assist,80,52
Indonesia,Rumakiek,Goal,87,31
Cambodia,Mony Udom,Goal,27,66
Indonesia,Walian,Shot Assist,88,45
Indonesia,Evan,Blocked Shot,79,46
Indonesia,Asnawi,Shot Assist,69,77
Indonesia,Walian,Blocked Shot,90,61
Cambodia,Mony Udom,Shot Off Target,29,60
Cambodia,Changthea,Shot Assist,22,33
Cambodia,Polroth,Shot On Target,25,48
Cambodia,Krya,Shot Assist,11,16
Cambodia,Pisoth,Shot Off Target,8,48
Cambodia,Polroth,Shot On Target,29,67
Cambodia,Mony Udom,Shot Assist,0,98
Cambodia,Polroth,Shot Off Target,7,37
Cambodia,Mony Udom,Shot Assist,52,70
Cambodia,Pisoth,Blocked Shot,18,63
Cambodia,Polroth,Shot On Target,17,25
Indonesia,Edo,Shot Assist,98,25
Indonesia,Yudo,Shot Off Target,91,44
Indonesia,Irianto,Shot Off Target,75,60
Indonesia,Kambuaya,Shot Assist,80,57
Indonesia,Witan,Blocked Shot,77,46
Cambodia,Mony Udom,Shot Off Target,30,33
