Team,Player,Event,X,Y
Indonesia,Evan,Shot Assist,67,19
Indonesia,Irianto,Shot Off Target,70,57
Indonesia,Edo,Shot Assist,100,99
Indonesia,Evan,Shot On Target,77,64
Indonesia,Asnawi,Shot Assist,64,76
Indonesia,Dewangga,Shot Off Target,70,52
Indonesia,Asnawi,Goal,89,50
Laos,Ketkeo,Shot Assist,28,52
Laos,Bounphachan,Blocked Shot,26,62
Laos,Ketkeo,Shot Off Target,32,41
Indonesia,Dedik,Goal Assist,97,60
Indonesia,Irfan,Goal,98,50
Indonesia,Evan,Shot Off Target,74,50
Indonesia,Asnawi,Shot Assist,76,87
Indonesia,Dedik,Shot Off Target,92,49
Laos,Bounphachan,Goal Assist,31,71
Laos,Kydavone,Goal,14,37
Indonesia,Kambuaya,Shot Assist,81,83
Indonesia,Irfan,Shot Off Target,95,51
Indonesia,Irfan,Shot Off Target,80,33
Indonesia,Evan,Shot Assist,68,28
Indonesia,Dewangga,Shot Off Target,69,50
Indonesia,Edo,Blocked Shot,82,34
Indonesia,Irfan,Goal Assist,92,26
Indonesia,Witan,Goal,87,38
Indonesia,Asnawi,Shot Assist,90,69
Indonesia,Dewangga,Shot Off Target,74,53
Indonesia,Dewangga,Shot Assist,50,8
Indonesia,Dedik,Shot On Target,57,13
Indonesia,Dedik,Shot Off Target,83,55
Indonesia,Ridho,Shot Assist,97,69
Indonesia,Dewangga,Blocked Shot,78,59
Indonesia,Dedik,Shot Assist,72,35
Indonesia,Witan,Shot Off Target,88,33
Indonesia,Evan,Shot Off Target,83,50
Indonesia,Rumakiek,Shot On Target,73,51
Indonesia,Evan,Shot Assist,100,0
Indonesia,Baggott,Shot Off Target,97,47
Indonesia,Dewangga,Goal Assist,68,34
Indonesia,Evan,Goal,94,58
Indonesia,Witan,Goal Assist,97,80
Indonesia,Walian,Goal,93,57
Indonesia,Dewangga,Shot Off Target,75,39
Indonesia,Witan,Shot Assist,76,62
Indonesia,Asnawi,Shot On Target,91,63
Indonesia,Witan,Shot Assist,99,99
Indonesia,Walian,Shot Off Target,96,60
Indonesia,Kambuaya,Shot Assist,89,81
Indonesia,Dewangga,Blocked Shot,78,55
