Team,Player,Event,X,Y
Vietnam,Tuan Anh,Shot Assist,2,75
Vietnam,Phong Hong Duy,Blocked Shot,7,63
Vietnam,Thanh Chung,Shot Off Target,29,52
Vietnam,Tuan Anh,Shot Off Target,17,61
Vietnam,Quang Hai,Shot Assist,1,81
Vietnam,Van Duc,Blocked Shot,9,71
Vietnam,Cong Phuong,Shot Assist,18,33
Vietnam,Quang Hai,Shot On Target,17,27
Vietnam,Van Thang,Shot Assist,22,3
Vietnam,Cong Phuong,Blocked Shot,24,34
Vietnam,Quang Hai,Shot Assist,1,1
Vietnam,Cong Phuong,Shot Off Target,12,65
Vietnam,Van Duc,Shot Assist,17,56
Vietnam,Hoang Duc,Shot Off Target,22,50
Vietnam,Tuan Anh,Shot Assist,24,57
Vietnam,Quang Hai,Blocked Shot,24,50
Vietnam,Tuan Anh,Shot Assist,35,55
Vietnam,Hoang Duc,Shot Off Target,30,64
Vietnam,Van Duc,Shot Assist,23,71
Vietnam,Tuan Anh,Blocked Shot,20,74
Vietnam,Tien Linh,Shot Assist,21,39
Vietnam,Quang Hai,Blocked Shot,20,47
Vietnam,Quang Hai,Shot Assist,0,98
Vietnam,Tien Dung,Shot Off Target,7,53
Indonesia,Asnawi,Shot Assist,72,89
Indonesia,Walian,Blocked Shot,83,44
Vietnam,Hoang Duc,Shot Assist,32,24
Vietnam,Van Duc,Shot Off Target,26,50
Vietnam,Duc Chinh,Shot Assist,18,29
Vietnam,Tien Linh,Blocked Shot,9,31
Vietnam,Van Duc,Shot Assist,25,63
Vietnam,Duc Chinh,Blocked Shot,12,67
Vietnam,Van Thanh,Shot Assist,19,7
Vietnam,Quang Hai,Blocked Shot,18,26
Vietnam,Hoang Duc,Shot Assist,20,57
Vietnam,Phong Hong Duy,Shot Off Target,23,60
Vietnam,Hoang Duc,Shot Assist,1,77
Vietnam,Tien Linh,Blocked Shot,7,55
Vietnam,Van Thanh,Shot Assist,13,19
Vietnam,Duy Manh,Blocked Shot,20,29
Vietnam,Xuan Truong,Shot Assist,23,18
Vietnam,Phong Hong Duy,Blocked Shot,27,48
