Team,Player,Event,X,Y
Indonesia,Rumakiek,Shot Assist,67,26
Indonesia,Arhan,Shot Off Target,83,36
Indonesia,Irfan,Shot Assist,99,0
Indonesia,Dewangga,Shot Off Target,96,35
Malaysia,Kogileswaran,Goal,22,52
Indonesia,Irfan,Blocked Shot,86,48
Indonesia,Irianto,Shot Assist,72,77
Indonesia,Witan,Blocked Shot,84,65
Indonesia,Irfan,Shot Assist,94,14
Indonesia,Walian,Blocked Shot,93,50
Indonesia,Irianto,Shot Assist,74,47
Indonesia,Arhan,Shot Off Target,79,54
Indonesia,Irfan,Blocked Shot,87,39
Indonesia,Arhan,Shot Assist,76,99
Indonesia,Walian,Blocked Shot,91,57
Malaysia,Halim,Shot Assist,64,30
Malaysia,Syafiq,Shot Off Target,13,69
Indonesia,Witan,Goal Assist,94,64
Indonesia,Irfan,Goal,92,48
Indonesia,Rumakiek,Shot Off Target,87,31
Indonesia,Irianto,Shot Assist,72,54
Indonesia,Arhan,Shot On Target,76,41
Indonesia,Arhan,Blocked Shot,90,36
Indonesia,Irfan,Goal,98,55
Indonesia,Arhan,Shot Assist,100,99
Indonesia,Fachrudin,Shot Off Target,97,35
Indonesia,Irianto,Shot Assist,59,25
Indonesia,Kambuaya,Blocked Shot,73,49
Malaysia,Kogileswaran,Shot Assist,29,57
Malaysia,Bakhtiar,Shot On Target,27,46
Indonesia,Irfan,Goal Assist,90,11
Indonesia,Arhan,Goal,83,31
Indonesia,Irianto,Blocked Shot,73,53
Indonesia,Irfan,Shot Off Target,92,42
Malaysia,Rashid,Shot Assist,13,78
Malaysia,De Paula,Blocked Shot,18,66
Malaysia,De Paula,Shot Assist,17,62
Malaysia,Syafiq,Shot Off Target,25,64
Indonesia,Arhan,Shot Assist,66,37
Indonesia,Irfan,Blocked Shot,89,35
Malaysia,Cools,Shot Assist,12,39
Malaysia,Syafiq,Shot On Target,13,47
Indonesia,Irfan,Shot Assist,90,21
Indonesia,Baggott,Shot Off Target,89,49
Malaysia,Cools,Shot Assist,43,68
Malaysia,Rashid,Shot Off Target,13,69
Indonesia,Evan,Goal Assist,99,2
Indonesia,Baggott,Goal,97,50
Indonesia,Witan,Shot Assist,73,26
Indonesia,Evan,Shot Off Target,89,63
