Team,Player,Event,X,Y
Indonesia,Witan,Shot Assist,81,65
Indonesia,Kambuaya,Blocked Shot,89,66
Indonesia,Dewangga,Shot Assist,77,71
Indonesia,Arhan,Blocked Shot,79,38
Indonesia,Dewangga,Shot Off Target,77,61
Singapore,Zulqarnaen,Shot Assist,14,19
Singapore,Song,Shot Off Target,18,29
Indonesia,Witan,Shot Assist,98,33
Indonesia,Fachruddin,Blocked Shot,87,50
Indonesia,Witan,Goal Assist,96,64
Indonesia,Walian,Goal,95,54
Indonesia,Asnawi,Shot Assist,97,90
Indonesia,Kambuaya,Shot Off Target,90,68
Indonesia,Dewangga,Shot Off Target,70,28
Indonesia,Arhan,Shot Assist,81,0
Indonesia,Dewangga,Shot On Target,78,55
Singapore,Shahdan,Blocked Shot,24,49
Indonesia,Rumakiek,Shot On Target,81,33
Singapore,Song,Shot Assist,29,44
Singapore,Hafiz Nor,Shot On Target,18,63
Indonesia,Walian,Blocked Shot,87,53
Singapore,Irfan Fandi,Goal Assist,5,51
Singapore,Song,Goal,8,53
Indonesia,Witan,Shot Assist,87,63
Indonesia,Kambuaya,Shot Off Target,82,61
Indonesia,Kambuaya,Shot Assist,83,48
Indonesia,Walian,Shot Off Target,86,35
Singapore,Shahdan,Shot Assist,25,8
Singapore,Amy Recha,Shot On Target,7,56
Indonesia,Kambuaya,Shot Assist,97,51
Indonesia,Ridho,Shot Off Target,89,46
Indonesia,Sagara,Shot Off Target,84,68
Indonesia,Irianto,Blocked Shot,81,59
Singapore,Ikhsan Fandi,Shot Assist,62,50
Singapore,Shawal,Shot Off Target,27,29
Singapore,Shawal,Blocked Shot,23,62
Indonesia,Arhan,Shot Assist,97,11
Indonesia,Sagara,Blocked Shot,93,39
Indonesia,Irfan,Blocked Shot,81,36
Singapore,Shahdan,Goal,20,67
Singapore,Shahdan,Shot On Target,7,83
Singapore,Shahdan,Shot Assist,0,1
Singapore,Ikhsan Fandi,Shot Off Target,7,51
Indonesia,Witan,Shot Assist,75,40
Indonesia,Irianto,Shot Off Target,73,54
Singapore,Shahdan,Shot Assist,37,65
Singapore,Shawal,Shot On Target,7,33
Indonesia,Arhan,Shot Assist,89,66
Indonesia,Witan,Shot On Target,90,59
Indonesia,Arhan,Goal,98,59
Singapore,Faris,Shot On Target,11,50
Singapore,Shahdan,Shot Assist,0,1
Singapore,Ikhsan Fandi,Blocked Shot,6,36
Indonesia,Sagara,Shot Assist,94,49
Indonesia,Irfan,Shot On Target,89,49
Indonesia,Asnawi,Shot Assist,65,69
Indonesia,Irfan,Shot Off Target,93,35
Singapore,Shawal OG,Own Goal,98,46
Indonesia,Egy,Blocked Shot,81,35
Indonesia,Sagara,Blocked Shot,83,55
Indonesia,Evan,Shot On Target,94,49
Indonesia,Asnawi,Shot Assist,74,83
Indonesia,Egy,Shot Off Target,79,68
Indonesia,Evan,Shot Assist,94,73
Indonesia,Irfan,Shot On Target,93,42
Indonesia,Witan,Shot Assist,86,34
Indonesia,Irfan,Shot On Target,93,33
Indonesia,Arhan,Shot On Target,83,33
Indonesia,Dewangga,Shot Off Target,72,46
Indonesia,Baggott,Shot Assist,53,32
Indonesia,Irfan,Shot On Target,93,38
Indonesia,Egy,Goal,98,45
Singapore,Ikhsan Fandi,Shot On Target,17,65
Indonesia,Egy,Shot Assist,86,32
Indonesia,Irfan,Shot On Target,85,43
Singapore,Faris,Shot Off Target,9,44
Indonesia,Kadek Agung,Shot On Target,77,43
Indonesia,Egy,Shot Assist,77,71
Indonesia,Evan,Blocked Shot,93,67
