Team,Player,Event,X,Y
Thailand,Roller,Goal Assist,8,24
Thailand,Chanathip,Goal,12,35
Thailand,Phitiwat,Shot Off Target,27,36
Thailand,Supachok,Shot Assist,4,74
Thailand,Bordin,Shot On Target,9,34
Thailand,Dolah,Shot Off Target,11,46
Thailand,Bordin,Shot Off Target,22,37
Thailand,Bordin,Blocked Shot,9,86
Thailand,Supachok,Shot Assist,10,70
Thailand,Teerasil,Shot Off Target,12,46
Indonesia,Kambuaya,Shot Assist,82,68
Indonesia,Asnawi,Shot Off Target,81,58
Indonesia,Witan,Shot Assist,87,17
Indonesia,Dewangga,Shot Off Target,92,61
Thailand,Supachok,Shot Assist,22,55
Thailand,Bordin,Shot On Target,9,67
Thailand,Supachok,Blocked Shot,26,50
Thailand,Supachok,Goal Assist,11,41
Thailand,Chanathip,Goal,14,42
Thailand,Teerasil,Shot Assist,25,56
Thailand,Pokklaw,Shot Off Target,26,49
Thailand,Chanathip,Shot Assist,15,47
Thailand,Teerasil,Shot Off Target,23,50
Indonesia,Kambuaya,Shot Assist,76,54
Indonesia,Irfan,Shot On Target,91,39
Thailand,Roller,Goal Assist,11,19
Thailand,Supachok,Goal,20,60
Thailand,Tristan,Shot Off Target,22,46
Thailand,Worachit,Goal Assist,25,56
Thailand,Bordin,Goal,12,57
Thailand,Thitiphan,Shot On Target,21,64
Thailand,Thitiphan,Shot Assist,24,47
Thailand,Worachit,Shot On Target,8,31
Thailand,Pokklaw,Shot Assist,56,56
Thailand,Supachai,Shot On Target,22,60
Indonesia,Asnawi,Shot Assist,65,77
Indonesia,Dedik,Shot Off Target,90,72
Thailand,Pokklaw,Shot Off Target,21,37
